letters,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_resp1.x,mouse_resp1.y,mouse_resp1.leftButton,mouse_resp1.midButton,mouse_resp1.rightButton,mouse_resp1.started,mouse_resp1.stopped,mouse_respo2.x,mouse_respo2.y,mouse_respo2.leftButton,mouse_respo2.midButton,mouse_respo2.rightButton,mouse_respo2.started,mouse_respo2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,letterDisp.started,letterDisp.stopped,isiText.started,isiText.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,-0.10285714,0.017142856,1,0,0,4.011612014262937,None,,,,,,,,,,,,,,,,,,,,,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
,,,,,,,,,,,,-0.014285714,0.0057142857,1,0,0,4.000896175042726,None,,,,,,,,,,,,,,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
,,,,,,,,,,,,,,,,,,,0.5257143,-0.37142858,1,0,0,4.011864756932482,None,,,,,,,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
F',0,0,0,0,,,,,,,,,,,,,,,,,,,,,,83.26454320701305,None,84.03216479893308,None,84.28263870195951,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
K',0,1,1,1,,,,,,,,,,,,,,,,,,,,,,85.28195144503843,None,86.28214813198429,None,86.5319276599912,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
P',0,2,2,2,,,,,,,,,,,,,,,,,,,,,,87.53200514498167,None,88.53216173301917,None,88.78205289703328,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
H',0,3,3,4,,,,,,,,,,,,,,,,,,,,,,89.78215933998581,None,90.78189596999437,None,91.03198222396895,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
T',0,4,4,7,,,,,,,,,,,,,,,,,,,,,,92.03210248902906,None,93.03182771801949,None,93.28212182794232,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
S',0,5,5,3,,,,,,,,,,,,,,,,,,,,,,94.28200584894512,None,95.28194744698703,None,95.53203046298586,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
Y',0,6,6,11,,,,,,,,,,,,,,,,,,,,,,96.53171583695803,None,97.53180058498401,None,97.78180560399778,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
Q',0,7,7,6,,,,,,,,,,,,,,,,,,,,,,98.78180365997832,None,99.78177704999689,None,100.03182902699336,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
R',0,8,8,10,,,,,,,,,,,,,,,,,,,,,,101.03185314196162,None,102.03164303500671,None,102.28239534399472,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
J',0,9,9,8,,,,,,,,,,,,,,,,,,,,,,103.28189321199898,None,104.28194615500979,None,104.53219798300415,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
L',0,10,10,5,,,,,,,,,,,,,,,,,,,,,,105.5318617009325,None,106.53200071502943,None,106.78189136099536,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
N',0,11,11,9,,,,,,,,,,,,,,,,,,,,,,107.78191715397406,None,108.78169081301894,None,109.031907500932,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
L',1,0,12,5,,,,,,,,,,,,,,,,,,,,,,110.03178131999448,None,111.0322260200046,None,111.28173413593322,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
F',1,1,13,0,,,,,,,,,,,,,,,,,,,,,,112.28202933899593,None,113.28174217802007,None,113.53173084103037,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
J',1,2,14,8,,,,,,,,,,,,,,,,,,,,,,114.5319850849919,None,115.53170559299178,None,115.7815237629693,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
T',1,3,15,7,,,,,,,,,,,,,,,,,,,,,,116.78178949397989,None,117.78160452796146,None,118.03223093599081,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
R',1,4,16,10,,,,,,,,,,,,,,,,,,,,,,119.03150538401678,None,120.0317325310316,None,120.28162145894021,None,13t,001,2022-07-12_20h50.16.199,ospan,2022.1.4,60.42838282535885,
,,,,,,,,,,,,,,,,,,,,,,,,,,121.28165017301217,None,122.28136321203783,None,,,,,,,,,
